;price;year;condition;cylinders;odometer;title_status;transmission;drive;size;lat;long;weather
1713253;39800;2015;3;6;81233;clean;automatic;4wd;mid-size;34,74851;-77,41559;56
979930;13775;2013;3;6;215000;lien;automatic;4wd;full-size;46,6257;-94,2684;43
762469;15688;2010;3;8;0;clean;automatic;4wd;;42,099255;-72,60989;50
105653;2300;1999;2;8;129000;clean;automatic;rwd;;44,868012;-93,507952;43
1180682;16900;2014;3;6;63000;rebuilt;automatic;4wd;full-size;25,8963;-80,3063;65
952234;6950;2002;4;8;87891;clean;automatic;rwd;full-size;41,659345;-73,082609;51
24433;3200;2002;2;6;212000;clean;automatic;rwd;;38,8518;-91,9605;52
976633;17990;2010;3;8;129000;clean;automatic;4wd;;46,450007;-95,12469;43
1670317;10999;2006;2;8;99000;clean;automatic;rwd;full-size;37,677;-97,059059;51
1222822;28480;2014;3;6;47301;clean;automatic;4wd;;32,965063;-96,913304;67
1645740;19295;2013;3;6;161929;clean;automatic;4wd;;45,121187;-92,693325;45
912426;14988;2012;2;8;123568;clean;automatic;4wd;full-size;42,912954;-85,680286;45
885250;42900;2018;4;8;18786;clean;automatic;4wd;full-size;43,6013;-84,7736;45
88605;31995;2015;4;6;29800;clean;automatic;4wd;full-size;43,204543;-75,4242;53
1124915;5995;2005;2;8;179000;clean;automatic;rwd;full-size;28,0496;-82,0069;65
1641619;25452;2013;3;8;37419;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
981644;4890;2002;3;8;206000;clean;automatic;;;46,450007;-95,12469;43
1011978;6990;1979;2;8;89000;clean;automatic;rwd;;33,8343;-78,6606;60
959477;1000;2002;1;8;175000;clean;automatic;4wd;full-size;46,86113;-96,740112;43
1695344;2200;1998;1;6;109022;clean;automatic;rwd;full-size;35,9781;-78,8439;56
918964;18790;2013;3;8;107000;clean;automatic;4wd;;42,7496;-83,5358;45
1660677;27500;2015;3;6;22473;clean;automatic;4wd;mid-size;43,78124;-88,50265;45
1042682;10500;2013;3;8;200000;clean;automatic;4wd;;38,912;-94,3517;52
512446;27500;2016;3;6;44040;lien;automatic;fwd;full-size;34,6484;-99,3205;57
513783;14500;2009;3;8;168124;clean;automatic;4wd;mid-size;36,2535;-95,33257;57
1055070;8995;2005;2;8;145612;clean;automatic;rwd;full-size;37,084348;-94,524269;52
1682364;13995;2014;2;6;156082;clean;automatic;4wd;full-size;35,661076;-78,703988;56
525472;10800;2008;3;8;145639;clean;automatic;4wd;mid-size;36,28962;-95,31964;57
1038676;27200;2014;3;6;75514;clean;automatic;4wd;;38,0185;-92,7677;52
1061373;3900;2000;2;8;190013;clean;automatic;rwd;full-size;37,677378;-92,656734;52
767503;14900;2010;4;8;91486;clean;automatic;4wd;full-size;42,51874;-70,90857;50
1111811;1;2018;3;10;20983;clean;other;4wd;full-size;28,466088;-81,396429;65
877862;9900;2010;2;8;160000;clean;automatic;4wd;;42,851055;-83,45119;45
253260;10900;2004;3;8;146000;clean;automatic;4wd;full-size;36,6955;-93,115;52
524013;600;1997;1;8;141500;clean;automatic;rwd;;36,0557;-96,0602;57
1713845;29500;2015;3;6;45441;clean;automatic;4wd;mid-size;34,74851;-77,41559;56
1561742;59995;2017;2;6;24737;clean;automatic;4wd;full-size;42,504823;-92,405569;47
176004;19900;2014;3;8;104829;clean;automatic;4wd;full-size;44,227258;-88,467902;45
1326574;27995;2016;3;8;42956;clean;automatic;4wd;full-size;40,83598;-96,725713;46
1565354;7900;2005;3;8;123000;clean;automatic;4wd;full-size;42,484503;-92,324974;47
1615915;3495;1997;3;8;62720;clean;automatic;fwd;full-size;42,902235;-78,62267;53
390322;21999;2014;2;6;115405;clean;automatic;4wd;;30,665776;-88,105149;61
1642373;13880;2009;3;8;154597;clean;automatic;4wd;mid-size;44,87313;-87,89568;45
376482;64990;2018;3;6;8023;clean;automatic;4wd;full-size;43,154309;-75,930033;53
322096;35890;2016;3;6;73560;clean;automatic;4wd;;49,204598;-123,139205;
757652;30000;2015;3;8;21000;clean;automatic;4wd;;42,5611;-73,158;50
513512;1400;1999;2;8;350000;clean;automatic;4wd;full-size;36,088463;-95,928841;57
391791;10000;2007;2;8;205000;clean;automatic;4wd;full-size;33,29323;-86,913271;61
394346;10500;2008;3;8;120000;clean;automatic;fwd;full-size;34,7108;-86,7425;61
1213481;24888;2014;3;8;62084;clean;automatic;4wd;;47,830597;-110,662694;40
966623;4700;2008;3;6;156000;clean;automatic;rwd;full-size;44,776612;-93,325182;43
1664819;17900;2010;3;8;150114;clean;automatic;4wd;mid-size;38,88358;-94,79383;51
1227294;22900;2014;4;6;95000;clean;automatic;4wd;full-size;31,6673;-97,3002;67
1274189;10900;2006;4;8;141000;clean;automatic;rwd;;29,5563;-98,3643;67
1628765;19550;2011;3;8;95372;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
1282207;6000;2005;2;8;167000;clean;automatic;4wd;;25,950376;-97,321693;67
274072;11995;2014;2;6;155425;clean;automatic;rwd;full-size;42,477134;-82,949564;45
1696542;2000;1999;2;8;0;clean;automatic;4wd;full-size;35,342876;-80,217805;56
262951;1350;1997;2;8;202000;clean;automatic;4wd;;42,562;-89,086;45
1125208;3995;1999;3;8;131248;clean;automatic;rwd;;27,9873;-81,7625;65
827653;21500;2014;3;8;121007;clean;automatic;4wd;;40,007891;-104,818353;45
1361507;35200;2016;4;6;46000;clean;automatic;4wd;full-size;43,615;-116,3975;47
1112578;3000;1986;2;8;154000;clean;automatic;rwd;full-size;30,9524;-86,4003;65
1245007;26000;2010;2;8;89000;clean;automatic;4wd;full-size;30,0948;-94,1648;67
1421509;17995;2010;3;8;141190;clean;automatic;4wd;full-size;38,084394;-89,339761;48
396300;17950;2014;2;6;119166;clean;automatic;rwd;full-size;33,512633;-86,79777;61
1308715;16900;2009;2;8;161634;clean;automatic;4wd;full-size;31,217814;-82,357716;59
1111287;4000;2001;2;8;180000;clean;automatic;4wd;;28,888666;-82,468155;65
381343;23800;2014;3;8;93580;clean;automatic;4wd;full-size;33,066044;-89,593906;61
1660162;36500;2015;3;6;36378;clean;automatic;4wd;mid-size;43,78124;-88,50265;45
364905;2200;1998;2;8;218754;clean;automatic;rwd;full-size;32,8424;-83,6766;59
989704;39000;2016;3;6;51748;clean;automatic;4wd;mid-size;46,59003;-95,57416;43
523119;2500;2004;3;8;176795;clean;automatic;;full-size;36,104027;-95,898136;57
1602943;63990;2018;3;6;8023;clean;automatic;4wd;full-size;43,154309;-75,932093;53
1532289;7900;2007;4;8;66735;clean;automatic;rwd;full-size;41,7101;-85,9729;48
1621263;13880;2009;3;8;154597;clean;automatic;4wd;mid-size;44,87313;-87,89568;45
933694;10999;2008;3;8;102000;clean;automatic;4wd;full-size;42,683256;-84,567626;45
1208149;18888;2010;3;8;85812;clean;automatic;4wd;;47,830597;-110,662694;40
1658751;32290;2016;3;8;43813;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
1208404;22888;2010;3;8;48745;clean;automatic;4wd;;47,830597;-110,662694;40
1243952;1;2010;3;8;205000;clean;automatic;4wd;;29,398336;-98,409802;67
1654157;10500;2006;3;8;110000;clean;automatic;rwd;full-size;44,7997;-89,6845;45
1625015;18485;2012;2;6;82625;clean;automatic;4wd;full-size;43,122774;-88,52791;45
218361;9550;2006;3;8;168942;clean;automatic;4wd;mid-size;44,87313;-87,89568;45
450635;11250;2008;2;8;146144;clean;automatic;4wd;full-size;40,902588;-81,150479;49
927691;7950;2010;3;8;230955;clean;automatic;4wd;mid-size;42,64387;-84,0733;45
1145343;3000;2000;3;6;600;clean;automatic;rwd;full-size;29,125773;-80,99237;65
378058;18900;2011;2;6;109600;clean;automatic;4wd;full-size;37,13284;-95,78558;51
974397;4000;1994;2;8;73000;clean;automatic;4wd;full-size;47,4156;-92,9356;43
1567096;1250;1992;1;6;47000;clean;automatic;rwd;full-size;41,039405;-92,440574;47
521286;8950;2007;3;8;138582;clean;automatic;4wd;mid-size;36,28962;-95,31964;57
1207285;16995;2007;3;8;30415;clean;automatic;4wd;full-size;47,830597;-110,662694;40
892144;29995;2016;4;6;38245;clean;automatic;4wd;;43,611197;-84,752827;45
1651532;14995;2010;3;8;162403;clean;automatic;4wd;full-size;42,701772;-89,008858;45
1033725;8995;2004;2;8;134285;clean;automatic;;;38,814626;-94,532522;52
203332;31990;2018;3;8;17621;clean;automatic;rwd;full-size;43,154559;-75,932436;53
582027;19998;2012;2;8;95340;clean;automatic;4wd;full-size;42,3899;-122,9222;50
746799;5000;2001;2;8;328000;clean;automatic;rwd;full-size;34,1621;-119,2074;59
254604;13995;2008;3;8;112286;clean;automatic;4wd;full-size;42,701772;-89,008858;45
1684642;15300;2013;2;8;123416;clean;automatic;rwd;full-size;35,661076;-78,703988;56
1132889;1;2013;3;8;67808;clean;automatic;4wd;full-size;28,466088;-81,396429;65
1262820;7500;2013;2;6;131000;clean;automatic;rwd;full-size;29,6364;-95,2216;67
1264398;6950;2007;3;8;126850;clean;automatic;fwd;full-size;30,260915;-97,713716;67
512024;7600;2006;2;8;134988;clean;automatic;rwd;;35,334;-97,4768;57
396140;19865;2013;3;8;151446;clean;automatic;4wd;full-size;33,843197;-87,248745;61
983611;17990;2014;3;8;138000;clean;automatic;;;46,450007;-95,12469;43
321743;30620;2015;3;6;73300;clean;automatic;4wd;full-size;49,184885;-122,801111;
25627;5000;2003;2;8;160000;clean;automatic;4wd;full-size;38,311;-85,7645;48
539974;3800;2000;2;8;118000;clean;manual;rwd;;35,454;-94,3278;59
876339;18500;2011;2;8;135700;clean;automatic;4wd;full-size;42,6159;-83,9248;45
73227;5900;2005;2;8;205266;clean;automatic;4wd;full-size;30,4277;-86,9271;65
1446862;4500;2002;1;8;201000;clean;automatic;4wd;full-size;41,485806;-88,276176;48
758903;4500;2002;1;8;240000;clean;automatic;4wd;full-size;42,310905;-73,255722;50
1237550;13250;2010;3;8;78654;clean;automatic;4wd;;31,786207;-106,320594;67
217487;12750;2014;3;6;85856;clean;automatic;4wd;;46,136342;-100,16963;38
87123;11000;2008;3;8;134000;clean;manual;4wd;;41,7268;-80,1479;53
1034484;20000;2013;3;6;120000;clean;automatic;4wd;;40,3579;-94,6805;52
812024;27796;2014;2;8;22918;clean;automatic;4wd;full-size;40,335245;-76,488033;53
266016;27199;2014;3;8;31576;clean;automatic;4wd;mid-size;43,78124;-88,50265;45
506407;14900;2011;3;6;123233;clean;other;;full-size;44,138399;-70,225926;44
302094;2100;1992;2;6;99500;clean;automatic;rwd;full-size;41,8436;-79,1726;53
1201611;24888;2014;3;8;53355;clean;automatic;4wd;;47,830597;-110,662694;40
996433;16995;2002;2;8;65336;clean;automatic;rwd;full-size;33,711509;-78,909582;60
1123698;25249;2012;3;8;93136;clean;automatic;4wd;mid-size;28,03978;-81,94071;65
1650108;33670;2016;3;6;15736;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
1101822;1900;2004;1;6;275000;clean;manual;rwd;full-size;29,4861;-81,2045;65
